Nationalstrasse;Abschnitt;fid Zahl;fid Text;fid QGIS;Name Bushaltestelle;Landeskoordinate E;Landeskoordinate N;Typ der Bushaltestelle;Bemerkung zum Typ der Bushaltestelle;Bushaltestelle mit Einbuchtung / auf Fahrbahn;"Ausrüstung
der Haltestelle";Bemerkungen;Lmin TOT;Lmin ZAP;Bmin ZAP;hmin ZAP;Lmin ZAR;Bmin ZAR;hmin ZAR;Lmin ZDE;Bmin ZDE;hmin ZDE;pmax Rampen;pmax Querrichtung;Hindernisse;Bemerkung zum Hindernis;Markierung Taktilo-Visuel;Markierung Haltekante;BehiGe-Konform;Anpassung an BehiGe verhältnismässig;Filiale
N06;56;103;103;103-N;Steg VS, Eggi;2623729;1129652;Sonst;Passroutehaltestelle;auf Fahrbahn;Haltekante;;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N06;56;103;103;103-S;Steg VS, Eggi;2623729;1129652;Sonst;Passroutehaltestelle;auf Fahrbahn;Nur Tafel;;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N06;56;165;165;165-O;Steg VS, Bäckerei;2623607;1129567;Sonst;;mit Einbuchtung;Haltebucht mit Unterstand;Randstein und Taktilo könnte gemacht werden für minimale Länge;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Wenig Platz;nein;keine;nein;ja;F2
N06;56;165;165;165-W;Steg VS, Bäckerei;2623607;1129567;Sonst;;mit Einbuchtung;Haltebucht;Randstein und Taktilo könnte gemacht werden für minimale Länge;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Wenig Platz;nein;keine;nein;ja;F2
N06;56;161;161;161-O;Gampel, Dorf;2623556;1129353;1;;mit Einbuchtung;Haltebucht;Taktilo ergänzen;≥12m;≥2.4m;≥1.2m;≥22cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;<6%;<2%;ja;einseitig zugänglich;nein;keine;nein;ja;F2
N06;56;161;161;161-W;Gampel, Dorf;2623556;1129353;1;;mit Einbuchtung;Haltebucht;Taktilo ergänzen;≥12m;≥2.4m;≥1.2m;≥22cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;<6%;<2%;nein;;nein;keine;nein;ja;F2
N06;56;124;124;124-N;Gampel, Zentrum;2623508;1129318;Sonst;;auf Fahrbahn;Haltekante;Kein echtes VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;nein;F2
N06;56;124;124;124-S;Gampel, Zentrum;2623508;1129318;Sonst;;auf Fahrbahn;Haltekante;Kein echtes VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;nein;F2
N06;56;114;114;114-O;Steg VS, Zentrum Metropol;2623599;1129312;Sonst;;auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;<6%;<2%;ja;"Abgrenzungssteine
(unmöglich für Rollstuhlfahrer)";nein;keine;nein;nein;F2
N06;56;114;114;114-W;Steg VS, Zentrum Metropol;2623599;1129312;Sonst;;auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;≥16cm;<6%;<2%;ja;"Rabatten und Parkplätze
(unmöglich für Rollstuhlfahrer)";nein;keine;nein;nein;F2
N06;56;125;125;125-O;Steg VS, Zanellahaus;2623623;1128826;Sonst;;auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;≥16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N06;56;125;125;125-W;Steg VS, Zanellahaus;2623623;1128826;Sonst;;auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter.;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;≥16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N06;56;112;112;112;Gampel-Steg, Bahnhof;2623786;1128387;Sonst;;mit Einbuchtung;Halteschlaufe für beide Richtungen;"Randstein und Taktilo könnte gemacht werden.
Gesamtgestalltung des Busbereiches";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥1.4m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;ja;"Busse halten offenbar nicht immer an Haltekante
und es scheint auch prov. Halteplätze zu geben
(siehe 112_goo-1)";nein;keine;nein;ja;F2
N08;52;137;137;137-O;Därligen, Tracht;2627618;1167984;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;Haltestelle für Seebadi;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;52;137;137;137-W;Därligen, Tracht;2627618;1167984;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;Haltestelle für Seebadi;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;121;121;121;Iseltwald, Unterschwand;2638641;1172311;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;"Kein VDS. Strasse nicht im Perimeter. Neben N08/60
für beide Richtungen";<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;127;127;127;Iseltwald, Sengg;2639130;1172655;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Haltekante mit Unterstand;"Kein VDS. Strasse nicht im Perimeter. Über  N08/60 (Tunnel)
für beide Richtungen";<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;104;104;104;Iseltwald, am Urfer;2639404;1172728;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;"Kein VDS. Strasse nicht im Perimeter. Über  N08/60 (Tunnel)
für beide Richtungen";<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;109;109;109;Iseltwald, Mühle;2639889;1173013;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Haltekante mit Unterstand;"für beide Richtungen
Randstein und Taktilo könnte gemacht werden.";<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;ja;F2
N08;60;160;160;160;Brienz BE, Abzw. Giessbach;2645297;1176285;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;"Kein VDS. Strasse nicht im Perimeter. Über  N08/60 (Tunnel)
für beide Richtungen";<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;159;159;159-O;Brienz BE, Im Brunnen;2646696;1176557;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter. Neben  N08/60;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;159;159;159-W;Brienz BE, Im Brunnen;2646696;1176557;Sonst;Passroutehaltestelle (sozusagen);auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter. Neben  N08/60;<12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;0;<1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;60;119;119;119-O;Brienz BE, Stegmatte;2647446;1176822;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden.;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;ja;F2
N08;60;119;119;119-W;Brienz BE, Stegmatte;2647446;1176822;Sonst;;auf Fahrbahn;Nur Tafel;Randstein und Taktilo könnte gemacht werden.;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;ja;F2
N08;60;154;154;154;Brienzwiler, Bahnhof;2649819;1177382;Sonst;;mit Einbuchtung;Halteschlaufe für beide Richtungen;"Kein VDS.
Randstein und Taktilo könnte gemacht werden.";≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;ja;F2
N08;64;153;153;153-NO;Brünigen, Gnoll;2652710;1178046;Sonst;Passroutehaltestelle;auf Fahrbahn;Haltekante mit Unterstand;;≥12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;64;153;153;153-SW;Brünigen, Gnoll;2652710;1178046;Sonst;Passroutehaltestelle;auf Fahrbahn;Nur Tafel;;≥12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;>2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N08;64;110;110;110;Brünig-Hasliberg, Bahnhof;2653463;1178740;Sonst;Passroutehaltestelle;mit Einbuchtung;Halteschlaufe für beide Richtungen mit Unterstand;;≥12m;<2.4m;<1.2m;<16cm;<5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;<6%;>2%;ja;"Platz kann mit fünf Postautos belegt sein.
Es sind zwei Haltestellen markiert (ca. 12m lang)";nein;keine;nein;nein;F2
N09;70;158;158;158-NO;Brig, Stützen;2643237;1128928;Sonst;;mit Einbuchtung;Haltebucht;Randstein und Taktilo könnte gemacht werden.;<12m;<2.4m;≥1.2m;<16cm;<5.4m;≥2.0m;<16cm;0;≥1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;ja;F2
N09;70;158;158;158-SW;Brig, Stützen;2643237;1128928;Sonst;;mit Einbuchtung;Haltebucht mit Unterstand;Randstein und Taktilo könnte gemacht werden.;<12m;<2.4m;≥1.2m;≥16cm;<5.4m;≥2.0m;≥16cm;0;≥1.2m;≥16cm;>6%;<2%;nein;;nein;keine;nein;ja;F2
N09;70;133;133;133-SO;Schallberg;2645071;1127104;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;133;133;133-NW;Schallberg;2645071;1127104;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;157;157;157-W;Eisten, Ganter;2646397;1127557;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;157;157;157-O;Eisten, Ganter;2646397;1127557;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;≥16cm;≥5.4m;<1.4m;≥16cm;≥4.2m;<1.2m;≥16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;147;147;147-N;Eisten, Ganterbrücke;2647525;1127265;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;147;147;147-S;Eisten, Ganterbrücke;2647525;1127265;Sonst;Passroutehaltestelle;auf Fahrbahn;Nur Tafel;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;108;108;108-W;Berisal, Kehr;2648062;1127200;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;108;108;108-O;Berisal, Kehr;2648062;1127200;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;102;102;102-NO;Berisal, Brände;2647615;1127045;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;102;102;102-SW;Berisal, Brände;2647615;1127045;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;155;155;155-N;Berisal, Eggen;2646843;1126570;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;155;155;155-S;Berisal, Eggen;2646843;1126570;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;117;117;117-O;Rothwald, Ganterwald;2646126;1125928;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;117;117;117-W;Rothwald, Ganterwald;2646126;1125928;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;111;111;111-SO;Rothwald, Schutzhaus;2646164;1125540;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;111;111;111-NW;Rothwald, Schutzhaus;2646164;1125540;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;97;97;097-N;Schallbett;2646853;1123024;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;97;97;097-S;Schallbett;2646853;1123024;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;70;162;162;162;Simplon Kulm, Bellevue;2645944;1122306;Sonst;Passroutehaltestelle;mit Einbuchtung;Halteschlaufe für beide Richtungen;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;nein;F2
N09;72;113;113;113-N;Simplon Pass, Simplonblick;2645693;1122212;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;nein;F2
N09;72;113;113;113-S;Simplon Pass, Simplonblick;2645693;1122212;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;nein;F2
N09;72;106;106;106;Simplon Hospiz, Hospiz;2645533;1121869;Sonst;Passroutehaltestelle;auf Fahrbahn;Nur Tafel;Kein VDS. Strasse nicht im Perimeter. Neben  N09/72;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;140;140;140-NO;Simplon, Monte Leone;2645161;1121764;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;140;140;140-SW;Simplon, Monte Leone;2645161;1121764;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;101;101;101-NW;Simplon Dorf, Niwen;2644924;1120915;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;101;101;101-SO;Simplon Dorf, Niwen;2644924;1120915;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;152;152;152-NW;Simplon Dorf, Hospiz-Niederalp;2644353;1120026;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;152;152;152-SO;Simplon Dorf, Hospiz-Niederalp;2644353;1120026;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;123;123;123-SO;Engeloch VS;2644877;1119400;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;123;123;123-NW;Engeloch VS;2644877;1119400;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;148;148;148-W;Simplon Dorf, Maschihüs;2646400;1118247;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;148;148;148-O;Simplon Dorf, Maschihüs;2646400;1118247;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;118;118;118-SW;Simplon Dorf, Eggen;2646669;1117235;;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥1.4m;≥16cm;≥4.2m;≥1.2m;≥16cm;>6%;<2%;nein;;nein;keine;nein;nein;F2
N09;72;118;118;118-NO;Simplon Dorf, Eggen;2646669;1117235;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;150;150;150-SW;Gabi (Simplon);2648997;1115002;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;150;150;150-NO;Gabi (Simplon);2648997;1115002;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht mit Unterstand;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;139;139;139-NW;Simplon Dorf, Alte Kaserne;2650450;1115207;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;139;139;139-SO;Simplon Dorf, Alte Kaserne;2650450;1115207;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;<6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;128;128;128-NW;Gondo, Ramserna;2653159;1116546;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;128;128;128-SO;Gondo, Ramserna;2653159;1116546;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;<1.4m;<16cm;≥4.2m;<1.2m;<16cm;>6%;<2%;ja;Kein Trottoire;nein;keine;nein;nein;F2
N09;72;115;115;115-NW;Gondo, Kirche;2654205;1116281;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;nein;F2
N09;72;115;115;115-SO;Gondo, Kirche;2654205;1116281;Sonst;Passroutehaltestelle;mit Einbuchtung;Haltebucht;;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;nein;F2
N03;3;224;224;224;Basel, Felix Platter-Spital;2609487;1268381;;Bus und Velo Spur;auf Fahrbahn;Haltekante mit Unterstand;Taktilos ergänzen;≥18m;≥8.4m;<1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F3
N03;3;224;224;224;Basel, Felix Platter-Spital;2609532.9;1268425.4;;Bus und Velo Spur;auf Fahrbahn;Haltekante mit Unterstand;Taktilos ergänzen;≥18m;≥8.4m;<1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F3
N02;8;239;239;239;"Hat keinen Namen eingetragen
Liegt vor Polizeiposten";2612945;1268026.7;Sonst;"""Unterstand ist Brücke""";mit Einbuchtung;Haltebucht mit Unterstand;"Kein VDS
Randstein könnte gemacht werden";≥18m;≥8.4m;<1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;ja;einseitig zugänglich via Unterführung;nein;keine;nein;ja;F3
N02;8;181;181;181;Basel, Wettsteinallee;2612909.9;1267966.6;1;;mit Einbuchtung;Haltebucht mit Unterstand;;≥18m;≥8.4m;≥1.2m;≥22cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;<6%;<2%;nein;;ja;eine;ja;nein;F3
N02;8;179;179;179;Basel, Wettsteinallee;2612931.25;1267950.16;1;;mit Einbuchtung;Haltebucht mit Unterstand;;≥18m;≥8.4m;≥1.2m;≥22cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;<6%;<2%;nein;;ja;eine;ja;nein;F3
N02;8;180;180;180;Basel, Wettsteinallee;2612964.5;1267936.9;1;;mit Einbuchtung;Haltebucht mit Unterstand;Taktilos ergänzen;≥18m;≥8.4m;≥1.2m;≥22cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;<6%;<2%;nein;;nein;eine;nein;ja;F3
N02;8;236;236;236;Basel VB Grenze;2613091.7;1267750.8;Sonst;;mit Einbuchtung;Haltebucht mit Unterstand;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥2.0m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;ja;F3
N02;8;238;238;238;Basel, Tinguely Museum;2613076.81;1267737.11;Sonst;;mit Einbuchtung;Haltebucht mit Unterstand;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥2.0m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;ja;F3
